קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-3991-20100001-5L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,תעשייתי,גרין גלובל,20090252
GLG-3990-42310000-750ML,"נוזל לניקוי וחיטוי משטחים ללא ריח וצבע, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,תעשייתי,גרין גלובל,20090250
GLG-3990-23010000-25L,"נוזל לניקוי וחיטוי משטחים ללא ריח וצבע, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,תעשייתי,גרין גלובל,20090247
GLG-3990-20100000-5L,"נוזל לניקוי וחיטוי משטחים ללא ריח וצבע, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,תעשייתי,גרין גלובל,20090245
GLG-3772-41310000-500ML,"נוזל לניקוי פלדת אל-חלד ממשטחים ימיים, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090243
GLG-3772-23010000-25L,"נוזל לניקוי פלדת אל-חלד ממשטחים ימיים, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090240
GLG-3772-20100000-5L,"נוזל לניקוי פלדת אל-חלד ממשטחים ימיים, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090238
GLG-3771-41310000-500ML,"מסיר חלודה לכלי שיט, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090236
GLG-3771-23010000-25L,"מסיר חלודה לכלי שיט, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090233
GLG-3771-20100000-5L,"מסיר חלודה לכלי שיט, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090231
GLG-3713-42310000-750ML,"מסיר חלודה, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090229
